18/10/20 13:59:11 INFO  [experiment.challenging.PacmanChallenging] Evaluation [1]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 13:59:19 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=56, lives=0, gamePlayTime=8211, configuredTimeout=27732) with score: 3944
18/10/20 13:59:19 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 13:59:19 INFO  [experiment.challenging.PacmanChallenging] Evaluation [2]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 13:59:36 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=11, lives=0, gamePlayTime=16387, configuredTimeout=27732) with score: 4476
18/10/20 13:59:36 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 13:59:36 INFO  [experiment.challenging.PacmanChallenging] Evaluation [3]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 13:59:40 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=150, lives=0, gamePlayTime=4203, configuredTimeout=27732) with score: 2964
18/10/20 13:59:40 INFO  [experiment.challenging.PacmanChallenging] Evaluation [4]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=3, lives=5, gamePlayTimeout=27732)
18/10/20 13:59:59 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=19098, configuredTimeout=27732) with score: 3513
18/10/20 13:59:59 INFO  [experiment.challenging.PacmanChallenging] Evaluation [5]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=3, lives=3, gamePlayTimeout=27732)
18/10/20 14:00:15 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=4, lives=0, gamePlayTime=15978, configuredTimeout=27732) with score: 4542
18/10/20 14:00:15 INFO  [experiment.challenging.PacmanChallenging] We have a new best solution.
18/10/20 14:00:15 INFO  [experiment.challenging.PacmanChallenging] Evaluation [6]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=4, lives=4, gamePlayTimeout=27732)
18/10/20 14:00:20 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=99, lives=0, gamePlayTime=5103, configuredTimeout=27732) with score: 3483
18/10/20 14:00:20 INFO  [experiment.challenging.PacmanChallenging] Evaluation [7]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=2, lives=4, gamePlayTimeout=27732)
18/10/20 14:00:33 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=29, lives=0, gamePlayTime=13102, configuredTimeout=27732) with score: 4263
18/10/20 14:00:33 INFO  [experiment.challenging.PacmanChallenging] Evaluation [8]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=45, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 14:00:50 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=15, lives=0, gamePlayTime=16191, configuredTimeout=27732) with score: 4434
18/10/20 14:00:50 INFO  [experiment.challenging.PacmanChallenging] Evaluation [9]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=43, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 14:01:02 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=false, dotsPresent=17, lives=0, gamePlayTime=12298, configuredTimeout=27732) with score: 4375
18/10/20 14:01:02 INFO  [experiment.challenging.PacmanChallenging] Evaluation [10]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27832)
18/10/20 14:01:23 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=20996, configuredTimeout=27832) with score: 3431
18/10/20 14:01:23 INFO  [experiment.challenging.PacmanChallenging] Evaluation [11]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27632)
18/10/20 14:01:38 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=15151, configuredTimeout=27632) with score: 3275
18/10/20 14:01:38 INFO  [experiment.challenging.PacmanChallenging] Evaluation [12]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 14:01:57 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=18902, configuredTimeout=27732) with score: 3411
18/10/20 14:01:57 INFO  [experiment.challenging.PacmanChallenging] Evaluation [13]: PacmanExperimentConfiguration(ghosts=5, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 14:02:16 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=18718, configuredTimeout=27732) with score: 3309
18/10/20 14:02:16 INFO  [experiment.challenging.PacmanChallenging] Evaluation [14]: PacmanExperimentConfiguration(ghosts=3, dotsPercentage=44, bigDots=3, lives=4, gamePlayTimeout=27732)
18/10/20 14:02:30 INFO  [experiment.challenging.PacmanChallenging] ****** Solution Found: PacmanChallengingSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=14458, configuredTimeout=27732) with score: 3267
18/10/20 14:02:30 INFO  [experiment.challenging.PacmanChallenging] Evaluation [15]: PacmanExperimentConfiguration(ghosts=4, dotsPercentage=44, bigDots=3, lives=5, gamePlayTimeout=27732)
