27/09/20 20:55:15 INFO  [pacman.optimization.PacmanOptimization] Evaluation [1]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:55:31 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=15394, configuredTimeout=38242) with score: 4371
27/09/20 20:55:31 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 20:55:31 INFO  [pacman.optimization.PacmanOptimization] Evaluation [2]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:55:41 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=14, lives=0, gamePlayTime=10802, configuredTimeout=38242) with score: 2585
27/09/20 20:55:41 INFO  [pacman.optimization.PacmanOptimization] Evaluation [3]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:55:59 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=17108, configuredTimeout=38242) with score: 4288
27/09/20 20:55:59 INFO  [pacman.optimization.PacmanOptimization] Evaluation [4]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=3, gamePlayTimeout=38242)
27/09/20 20:56:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=3, gamePlayTime=8701, configuredTimeout=38242) with score: 4104
27/09/20 20:56:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [5]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=1, gamePlayTimeout=38242)
27/09/20 20:56:20 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=25, lives=0, gamePlayTime=12202, configuredTimeout=38242) with score: 2489
27/09/20 20:56:20 INFO  [pacman.optimization.PacmanOptimization] Evaluation [6]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=5, lives=2, gamePlayTimeout=38242)
27/09/20 20:56:34 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=14001, configuredTimeout=38242) with score: 4257
27/09/20 20:56:34 INFO  [pacman.optimization.PacmanOptimization] Evaluation [7]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=3, lives=2, gamePlayTimeout=38242)
27/09/20 20:56:49 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=15597, configuredTimeout=38242) with score: 4273
27/09/20 20:56:49 INFO  [pacman.optimization.PacmanOptimization] Evaluation [8]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=31, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:57:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=17646, configuredTimeout=38242) with score: 4394
27/09/20 20:57:07 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 20:57:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [9]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=29, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:57:24 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=16999, configuredTimeout=38242) with score: 4287
27/09/20 20:57:24 INFO  [pacman.optimization.PacmanOptimization] Evaluation [10]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38342)
27/09/20 20:57:38 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=14071, configuredTimeout=38342) with score: 4357
27/09/20 20:57:38 INFO  [pacman.optimization.PacmanOptimization] Evaluation [11]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38142)
27/09/20 20:57:47 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=9401, configuredTimeout=38142) with score: 4312
27/09/20 20:57:47 INFO  [pacman.optimization.PacmanOptimization] Evaluation [12]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:58:03 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=15169, configuredTimeout=38242) with score: 4369
27/09/20 20:58:03 INFO  [pacman.optimization.PacmanOptimization] Evaluation [13]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:58:14 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=7, lives=0, gamePlayTime=11876, configuredTimeout=38242) with score: 2666
27/09/20 20:58:14 INFO  [pacman.optimization.PacmanOptimization] Evaluation [14]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:58:31 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=16399, configuredTimeout=38242) with score: 4281
27/09/20 20:58:31 INFO  [pacman.optimization.PacmanOptimization] Evaluation [15]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=3, gamePlayTimeout=38242)
27/09/20 20:58:46 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=15571, configuredTimeout=38242) with score: 4273
27/09/20 20:58:46 INFO  [pacman.optimization.PacmanOptimization] Evaluation [16]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=1, gamePlayTimeout=38242)
27/09/20 20:58:48 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=55, lives=0, gamePlayTime=1902, configuredTimeout=38242) with score: 2086
27/09/20 20:58:48 INFO  [pacman.optimization.PacmanOptimization] Evaluation [17]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=5, lives=2, gamePlayTimeout=38242)
27/09/20 20:59:04 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=15676, configuredTimeout=38242) with score: 4274
27/09/20 20:59:04 INFO  [pacman.optimization.PacmanOptimization] Evaluation [18]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=3, lives=2, gamePlayTimeout=38242)
27/09/20 20:59:19 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=15395, configuredTimeout=38242) with score: 4271
27/09/20 20:59:19 INFO  [pacman.optimization.PacmanOptimization] Evaluation [19]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=31, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:59:42 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=22991, configuredTimeout=38242) with score: 4447
27/09/20 20:59:42 INFO  [pacman.optimization.PacmanOptimization] We have a new best solution.
27/09/20 20:59:42 INFO  [pacman.optimization.PacmanOptimization] Evaluation [20]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=29, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 20:59:51 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=8231, configuredTimeout=38242) with score: 4299
27/09/20 20:59:51 INFO  [pacman.optimization.PacmanOptimization] Evaluation [21]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38342)
27/09/20 21:00:08 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=17205, configuredTimeout=38342) with score: 4288
27/09/20 21:00:08 INFO  [pacman.optimization.PacmanOptimization] Evaluation [22]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38142)
27/09/20 21:00:18 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=2, gamePlayTime=10189, configuredTimeout=38142) with score: 4220
27/09/20 21:00:18 INFO  [pacman.optimization.PacmanOptimization] Evaluation [23]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 21:00:31 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=12999, configuredTimeout=38242) with score: 4347
27/09/20 21:00:31 INFO  [pacman.optimization.PacmanOptimization] Evaluation [24]: PacmanOptimizationConfiguration(ghosts=3, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 21:00:40 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=9260, configuredTimeout=38242) with score: 4310
27/09/20 21:00:40 INFO  [pacman.optimization.PacmanOptimization] Evaluation [25]: PacmanOptimizationConfiguration(ghosts=1, dotsPercentage=30, bigDots=4, lives=2, gamePlayTimeout=38242)
27/09/20 21:01:07 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=42, lives=0, gamePlayTime=26902, configuredTimeout=38242) with score: 2466
27/09/20 21:01:07 INFO  [pacman.optimization.PacmanOptimization] Evaluation [26]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=3, gamePlayTimeout=38242)
27/09/20 21:01:23 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=3, lives=0, gamePlayTime=15801, configuredTimeout=38242) with score: 2745
27/09/20 21:01:23 INFO  [pacman.optimization.PacmanOptimization] Evaluation [27]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=4, lives=1, gamePlayTimeout=38242)
27/09/20 21:01:31 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=false, dotsPresent=19, lives=0, gamePlayTime=8099, configuredTimeout=38242) with score: 2508
27/09/20 21:01:31 INFO  [pacman.optimization.PacmanOptimization] Evaluation [28]: PacmanOptimizationConfiguration(ghosts=2, dotsPercentage=30, bigDots=5, lives=2, gamePlayTimeout=38242)
27/09/20 21:01:44 INFO  [pacman.optimization.PacmanOptimization] ****** Solution Found: PacmanSolution(winningGame=true, dotsPresent=0, lives=1, gamePlayTime=13099, configuredTimeout=38242) with score: 4348
